recall,precision,ap
1.0,0.0017274795651807534,0.8193088324975564
1.0,0.0017275038271934383,0.8193088324975564
1.0,0.0017275280898876404,0.8193088324975564
1.0,0.0017275523532633886,0.8193088324975564
1.0,0.0017275766173207112,0.8193088324975564
1.0,0.0017276008820596373,0.8193088324975564
1.0,0.0017276251474801956,0.8193088324975564
1.0,0.0017276494135824146,0.8193088324975564
1.0,0.001727673680366323,0.8193088324975564
1.0,0.0017276979478319497,0.8193088324975564
1.0,0.0017277222159793235,0.8193088324975564
1.0,0.001727746484808473,0.8193088324975564
1.0,0.0017277707543194268,0.8193088324975564
1.0,0.001727795024512214,0.8193088324975564
1.0,0.001727819295386863,0.8193088324975564
1.0,0.0017278435669434026,0.8193088324975564
1.0,0.0017278921121022688,0.8193088324975564
1.0,0.0017279163857046528,0.8193088324975564
1.0,0.0017279406599890422,0.8193088324975564
1.0,0.0017279649349554664,0.8193088324975564
1.0,0.0017279892106039532,0.8193088324975564
1.0,0.0017280134869345322,0.8193088324975564
1.0,0.0017280377639472316,0.8193088324975564
1.0,0.0017282320046086187,0.8193088324975564
1.0,0.0017282562877616973,0.8193088324975564
1.0,0.001728280571597184,0.8193088324975564
1.0,0.001728304856115108,0.8193088324975564
1.0,0.0017283291413154973,0.8193088324975564
1.0,0.0017283534271983812,0.8193088324975564
1.0,0.0017284020010117475,0.8193088324975564
1.0,0.0017284262889422873,0.8193088324975564
1.0,0.001728450577555437,0.8193088324975564
1.0,0.0017284748668512247,0.8193088324975564
1.0,0.0017284991568296795,0.8193088324975564
1.0,0.0017285234474908305,0.8193088324975564
1.0,0.0017285720308613348,0.8193088324975564
1.0,0.001728620616962968,0.8193088324975564
1.0,0.0017287906898296509,0.8193088324975564
1.0,0.0017288149886853978,0.8193088324975564
1.0,0.001728839288224215,0.8193088324975564
1.0,0.0017288635884461312,0.8193088324975564
1.0,0.001728887889351175,0.8193088324975564
1.0,0.0017289121909393756,0.8193088324975564
1.0,0.0017289364932107617,0.8193088324975564
1.0,0.0017289607961653618,0.8193088324975564
1.0,0.001728985099803205,0.8193088324975564
1.0,0.00172900940412432,0.8193088324975564
1.0,0.0017290337091287356,0.8193088324975564
1.0,0.0017290580148164808,0.8193088324975564
1.0,0.0017290823211875844,0.8193088324975564
1.0,0.001729106628242075,0.8193088324975564
1.0,0.0017291309359799814,0.8193088324975564
1.0,0.0017291795535061575,0.8193088324975564
1.0,0.0017292038632944848,0.8193088324975564
1.0,0.0017292281737663433,0.8193088324975564
