threshold,precision,recall,false_pos,false_neg,true_pos
0.05,0.33650793650793653,0.8617886178861789,209,17,106
0.1,0.5329949238578681,0.8536585365853658,92,18,105
0.15000000000000002,0.6325301204819277,0.8536585365853658,61,18,105
0.2,0.6887417218543046,0.8455284552845529,47,19,104
0.25,0.7253521126760564,0.8373983739837398,39,20,103
0.3,0.7463768115942029,0.8373983739837398,35,20,103
0.35000000000000003,0.7686567164179104,0.8373983739837398,31,20,103
0.4,0.7803030303030303,0.8373983739837398,29,20,103
0.45,0.7923076923076923,0.8373983739837398,27,20,103
0.5,0.7890625,0.8211382113821138,27,22,101
